Autonomie_batterie,Nb_coeurs,Marque,Ville_vente,Reconditionne,Garantie_disponible,Frequence_CPU,Nb_appareils_photo,Reconnaissance_faciale,Gamme,Etat_esthetique,Score_performance,Charge_rapide,Double_SIM,Stockage_interne,Prix
58.0,1,Honor,Marrakech,1.0,1,1123.09,2,1.0,Moyenne,38,75.17,0,0,256,4629.59
56.0,5,Samsung Galaxy,Rabat,1.0,1,770.15,1,0.0,Supérieure,67,91.62,1,0,128,8833.99
63.0,2,Oppo,Agadir,0.0,0,898.21,0,0.0,Moyenne,59,56.61,0,1,512,4167.1
47.0,4,Honor,Agadir,1.0,0,984.78,2,1.0,Moyenne,25,93.39,1,0,128,4352.73
48.0,4,Honor,Casablanca,0.0,1,896.94,2,0.0,Entrée,85,80.92,1,0,512,2999.3
44.0,3,Oppo,Rabat,0.0,1,617.03,4,1.0,Moyenne,56,88.74,1,0,128,4498.45
40.0,2,Honor,Agadir,1.0,1,1191.23,2,,Entrée,60,100.44,1,1,1000,3722.93
67.0,8,Samsung Galaxy,Rabat,1.0,1,1389.43,0,1.0,Supérieure,89,80.33,0,1,512,9481.07
62.0,8,Samsung Galaxy,Marrakech,0.0,1,681.18,3,1.0,Supérieure,23,49.11,0,1,128,7559.27
57.0,5,Oppo,Agadir,1.0,0,1050.64,3,0.0,Entrée,42,78.9,1,1,1000,3510.8
45.0,7,Oppo,Rabat,0.0,1,985.24,4,1.0,Entrée,52,47.24,1,0,128,2999.57
42.0,4,Samsung Galaxy,Rabat,0.0,0,791.86,2,0.0,Supérieure,65,72.5,1,0,512,7495.04
66.0,6,Honor,Agadir,0.0,0,1413.05,0,1.0,Entrée,63,74.82,0,0,512,3923.18
46.0,7,Oppo,Marrakech,0.0,0,972.5,3,1.0,Entrée,93,103.81,0,0,1000,3581.9
61.0,4,Samsung Galaxy,Marrakech,0.0,0,1021.53,1,0.0,Supérieure,63,85.57,1,1,128,8116.57
46.0,9,Samsung Galaxy,Agadir,1.0,1,1190.41,1,1.0,Supérieure,27,69.31,1,0,1000,7677.83
47.0,1,Oppo,Rabat,1.0,1,934.52,1,1.0,Entrée,1,89.92,1,1,1000,3749.2
42.0,3,iPhone,Rabat,0.0,1,969.08,2,0.0,Supérieure,67,80.3,0,0,256,9111.38
53.0,3,Samsung Galaxy,Agadir,0.0,1,1431.78,3,1.0,Supérieure,35,88.56,0,0,512,8661.83
47.0,2,Oppo,Casablanca,1.0,1,1114.35,3,1.0,Moyenne,96,102.38,1,0,1000,4061.18
62.0,6,Honor,Marrakech,0.0,0,766.91,0,1.0,Entrée,41,78.08,0,0,512,3012.8
55.0,3,Oppo,Casablanca,0.0,0,1448.34,4,0.0,Entrée,6,66.09,1,0,128,3188.97
53.0,5,Oppo,Marrakech,1.0,1,1211.01,2,0.0,Entrée,81,60.58,0,1,256,3993.66
51.0,9,Honor,Marrakech,1.0,1,807.13,3,1.0,Entrée,63,93.56,1,1,1000,2907.39
43.0,2,Samsung Galaxy,Rabat,1.0,0,1127.63,4,1.0,Supérieure,40,98.91,0,1,128,9526.15
62.0,2,Honor,Rabat,1.0,1,926.54,3,1.0,Entrée,51,76.63,1,0,128,2681.05
54.0,1,Honor,Marrakech,0.0,0,1075.48,1,0.0,Moyenne,98,76.69,1,0,512,4197.97
61.0,7,Honor,Marrakech,0.0,0,1057.56,4,1.0,Moyenne,22,79.26,0,0,256,4000.84
57.0,1,Samsung Galaxy,Marrakech,0.0,1,918.53,0,1.0,Supérieure,49,61.03,0,1,1000,8577.76
41.0,9,iPhone,Marrakech,1.0,1,901.78,3,1.0,Premium,16,86.57,1,0,128,10828.25
45.0,1,Honor,Marrakech,0.0,0,808.52,3,0.0,Entrée,80,79.37,0,0,1000,3580.75
58.0,2,iPhone,Rabat,1.0,1,771.87,4,1.0,Premium,73,67.67,0,1,256,10374.68
59.0,4,Oppo,Rabat,0.0,0,885.76,3,0.0,Entrée,84,64.96,1,1,1000,3669.2
56.0,3,Xiaomi Redmi,Rabat,0.0,0,1244.65,2,0.0,Moyenne,23,74.32,1,0,128,4550.58
54.0,6,Oppo,Marrakech,1.0,1,854.2,2,1.0,Moyenne,28,57.51,1,0,512,4352.32
45.0,5,Samsung Galaxy,Agadir,1.0,0,928.36,1,0.0,Supérieure,75,77.38,0,0,256,9064.97
50.0,9,Samsung Galaxy,Casablanca,0.0,1,901.7,1,0.0,Supérieure,8,64.94,1,0,512,7477.55
49.0,6,Oppo,Casablanca,1.0,0,666.28,2,1.0,Entrée,23,65.25,1,1,512,3048.45
73.0,5,Samsung Galaxy,Agadir,1.0,1,814.07,4,0.0,Supérieure,50,72.59,0,0,512,7244.32
63.0,9,Honor,Casablanca,1.0,0,1045.57,0,1.0,Moyenne,79,83.38,1,0,1000,4402.6
62.0,7,Oppo,Agadir,0.0,0,1027.55,4,0.0,Entrée,48,81.26,1,1,512,3822.03
48.0,9,Honor,Rabat,0.0,1,986.78,1,0.0,Entrée,24,79.41,0,0,512,3698.59
43.0,9,Samsung Galaxy,Rabat,1.0,0,558.93,0,0.0,Supérieure,93,69.06,1,1,128,7816.32
55.0,9,Honor,Agadir,1.0,0,1036.93,4,0.0,Entrée,41,60.08,0,0,1000,2950.95
46.0,6,Samsung Galaxy,Casablanca,0.0,1,1230.72,4,1.0,Supérieure,19,91.24,0,1,1000,8130.31
32.0,8,Samsung Galaxy,Rabat,0.0,1,833.95,4,0.0,Supérieure,65,88.13,1,1,128,8720.42
43.0,8,Xiaomi Redmi,Casablanca,1.0,0,955.53,1,1.0,Moyenne,84,73.55,1,1,512,5087.47
56.0,7,Xiaomi Redmi,Agadir,1.0,1,1465.18,3,1.0,Moyenne,74,89.69,1,0,512,6781.0
55.0,4,Xiaomi Redmi,Marrakech,1.0,1,1052.18,2,1.0,Moyenne,84,79.75,0,1,1000,4785.62
61.0,3,Samsung Galaxy,Rabat,1.0,1,987.13,4,0.0,Supérieure,56,74.58,0,0,128,8638.83
53.0,7,Oppo,Casablanca,1.0,1,893.46,3,0.0,Moyenne,91,79.7,0,1,256,4211.13
52.0,4,Oppo,Marrakech,0.0,1,1381.39,0,0.0,Entrée,38,60.84,1,1,1000,3127.44
59.0,8,Honor,Marrakech,0.0,1,1122.2,3,0.0,Moyenne,98,60.96,1,0,128,4134.14
52.0,2,Xiaomi Redmi,Agadir,1.0,0,1020.74,2,0.0,Moyenne,3,20.12,0,1,128,5028.61
33.0,4,Xiaomi Redmi,Marrakech,0.0,0,974.7,2,1.0,Moyenne,35,76.97,1,0,128,5531.65
48.0,9,Xiaomi Redmi,Marrakech,0.0,1,1102.38,1,1.0,Moyenne,24,74.05,1,1,256,5504.11
54.0,4,Oppo,Agadir,1.0,0,682.14,2,1.0,Entrée,51,55.48,1,0,512,2897.96
39.0,3,Oppo,Marrakech,1.0,0,988.1,4,1.0,Entrée,35,67.64,1,0,512,3646.28
49.0,3,Xiaomi Redmi,Marrakech,1.0,1,1050.85,3,0.0,Moyenne,17,96.87,1,0,256,4585.41
36.0,3,iPhone,Rabat,0.0,0,1334.35,1,0.0,Premium,47,55.62,1,0,1000,10001.66
30.0,9,Samsung Galaxy,Agadir,1.0,1,1085.38,2,1.0,Supérieure,32,64.44,1,1,128,8322.05
29.0,2,Honor,Agadir,1.0,1,910.0,1,0.0,Moyenne,86,63.9,0,0,128,4735.02
32.0,4,Honor,Agadir,0.0,0,1122.44,3,1.0,Entrée,43,81.54,0,0,1000,3687.64
40.0,6,Samsung Galaxy,Rabat,0.0,0,983.43,3,1.0,Supérieure,6,84.67,1,0,128,8001.56
47.0,8,Samsung Galaxy,Casablanca,0.0,0,820.32,4,1.0,Supérieure,14,87.63,1,0,128,8208.8
69.0,6,Honor,Rabat,0.0,1,988.41,4,1.0,Moyenne,88,73.38,1,0,512,4882.36
58.0,8,iPhone,Marrakech,1.0,0,1029.27,0,1.0,Premium,12,42.19,0,0,1000,11623.88
46.0,1,Oppo,Casablanca,1.0,1,1106.93,1,0.0,Moyenne,86,76.77,1,1,256,4927.34
58.0,6,Oppo,Marrakech,0.0,0,747.41,4,1.0,Entrée,7,70.85,0,1,256,3863.92
60.0,9,Honor,Rabat,0.0,1,1113.81,2,0.0,Moyenne,32,69.21,0,1,128,4418.73
52.0,2,Samsung Galaxy,Agadir,1.0,1,754.49,0,0.0,Supérieure,30,67.51,0,0,512,8700.9
61.0,9,Honor,Marrakech,1.0,1,1254.08,0,1.0,Entrée,20,62.05,0,1,128,2618.16
67.0,9,Oppo,Agadir,1.0,1,1006.29,3,0.0,Entrée,14,77.22,0,1,128,3776.94
35.0,9,Honor,Casablanca,0.0,0,1244.73,0,0.0,Entrée,74,82.0,1,0,512,3618.58
58.0,9,Samsung Galaxy,Casablanca,1.0,1,1186.93,2,1.0,Supérieure,20,73.43,1,0,256,7732.83
66.0,6,Oppo,Marrakech,1.0,0,811.88,1,1.0,Moyenne,12,74.01,1,1,256,4374.52
42.0,5,iPhone,Marrakech,1.0,0,1167.75,3,0.0,Premium,39,87.03,1,0,128,11917.58
46.0,1,Xiaomi Redmi,Casablanca,1.0,1,987.93,4,1.0,Moyenne,9,87.04,1,0,512,5401.83
44.0,4,Samsung Galaxy,Marrakech,1.0,1,1006.32,2,0.0,Supérieure,50,51.97,0,1,1000,9296.66
48.0,4,Honor,Agadir,0.0,0,1111.27,1,0.0,Moyenne,94,71.19,1,1,256,4420.67
51.0,7,Samsung Galaxy,Casablanca,1.0,0,1131.51,2,0.0,Supérieure,77,98.42,1,0,512,7650.39
65.0,4,Xiaomi Redmi,Rabat,0.0,0,988.26,4,0.0,Moyenne,41,54.83,0,0,128,6837.73
33.0,3,iPhone,Casablanca,0.0,0,951.82,1,1.0,Premium,88,47.44,0,0,128,10410.17
53.0,4,Honor,Marrakech,1.0,1,974.98,1,1.0,Entrée,49,65.81,1,0,512,2785.69
55.0,3,Xiaomi Redmi,Casablanca,1.0,1,1385.02,3,1.0,Moyenne,83,54.52,1,1,1000,6086.0
68.0,8,iPhone,Agadir,1.0,1,848.78,3,0.0,Premium,25,91.55,0,0,128,11686.66
56.0,6,Oppo,Casablanca,1.0,1,607.54,4,,Entrée,18,70.36,1,1,128,3800.23
66.0,3,Honor,Casablanca,0.0,0,1059.66,4,1.0,Entrée,2,44.77,1,0,128,3143.66
42.0,5,Xiaomi Redmi,Marrakech,1.0,0,923.75,0,,Moyenne,29,63.61,0,1,512,5431.93
36.0,1,Samsung Galaxy,Rabat,1.0,1,1015.14,0,1.0,Supérieure,44,73.57,0,0,512,9590.65
58.0,5,Xiaomi Redmi,Agadir,0.0,1,1024.6,4,1.0,Moyenne,36,86.34,1,0,512,4968.18
56.0,8,Honor,Marrakech,0.0,1,1006.44,1,1.0,Entrée,68,85.67,1,0,128,3131.54
52.0,3,iPhone,Casablanca,0.0,1,938.58,0,1.0,Premium,40,108.52,0,1,128,10987.99
34.0,4,Samsung Galaxy,Agadir,0.0,1,1004.91,4,1.0,Supérieure,17,65.13,1,0,512,9477.68
66.0,1,Samsung Galaxy,Casablanca,1.0,1,1001.69,0,1.0,Supérieure,60,65.27,0,1,128,7311.32
36.0,1,Oppo,Casablanca,1.0,1,778.25,1,1.0,Entrée,80,91.24,0,0,512,2724.21
39.0,4,Samsung Galaxy,Marrakech,0.0,0,1090.64,0,1.0,Supérieure,86,69.48,0,0,1000,9771.72
43.0,6,Xiaomi Redmi,Agadir,1.0,1,935.1,0,1.0,Moyenne,52,75.71,1,1,1000,4772.33
45.0,4,Honor,Agadir,1.0,1,1183.68,4,0.0,Entrée,23,71.33,0,0,256,2670.55
57.0,1,Honor,Rabat,1.0,1,705.74,4,0.0,Entrée,96,79.53,0,1,128,3796.73
50.0,8,Oppo,Agadir,1.0,1,1165.66,3,1.0,Moyenne,61,79.4,0,1,1000,4762.66
42.0,9,iPhone,Marrakech,1.0,1,1126.07,2,1.0,Supérieure,24,74.12,0,1,512,9906.51
57.0,4,Xiaomi Redmi,Casablanca,1.0,1,884.32,3,1.0,Moyenne,97,79.19,1,1,256,6378.74
49.0,2,Oppo,Rabat,1.0,1,1057.56,3,0.0,Moyenne,74,57.07,1,0,512,4847.51
49.0,4,Xiaomi Redmi,Casablanca,1.0,0,960.17,1,0.0,Moyenne,46,86.56,0,0,256,5819.71
40.0,4,Xiaomi Redmi,Casablanca,0.0,1,803.25,2,0.0,Moyenne,31,65.37,0,0,1000,6711.93
65.0,1,Samsung Galaxy,Agadir,1.0,1,1070.18,2,1.0,Supérieure,28,83.32,0,1,512,9908.81
48.0,8,Samsung Galaxy,Rabat,1.0,1,1214.53,1,1.0,Supérieure,55,59.47,0,0,1000,8970.56
50.0,6,Oppo,Rabat,0.0,0,801.0,1,1.0,Entrée,41,71.98,1,0,1000,2717.82
55.0,3,Xiaomi Redmi,Marrakech,0.0,1,1106.47,1,1.0,Moyenne,86,64.3,0,0,1000,4939.25
56.0,7,Oppo,Marrakech,0.0,0,877.54,1,0.0,Entrée,77,64.7,0,0,256,2552.51
56.0,5,Xiaomi Redmi,Marrakech,0.0,0,760.71,2,0.0,Moyenne,92,78.64,1,1,256,6555.85
62.0,3,Samsung Galaxy,Marrakech,1.0,1,958.08,0,0.0,Supérieure,97,94.03,1,1,128,8266.32
66.0,2,Oppo,Marrakech,1.0,1,972.39,3,1.0,Entrée,67,92.67,1,0,512,2859.67
38.0,6,Honor,Marrakech,0.0,1,666.18,2,0.0,Moyenne,95,77.63,1,0,1000,4172.5
36.0,6,Oppo,Marrakech,0.0,0,1054.83,0,1.0,Entrée,85,71.92,0,0,256,2605.89
40.0,4,Samsung Galaxy,Casablanca,1.0,0,897.44,4,1.0,Supérieure,70,86.16,1,0,128,8713.61
56.0,5,iPhone,Rabat,1.0,1,909.72,2,1.0,Supérieure,4,73.25,1,1,256,9025.85
61.0,3,Honor,Marrakech,1.0,1,955.56,2,0.0,Moyenne,3,63.55,1,1,256,4654.48
46.0,4,iPhone,Marrakech,1.0,0,1104.99,1,1.0,Supérieure,85,87.68,0,0,256,9431.98
37.0,4,Honor,Marrakech,0.0,1,1023.1,0,,Moyenne,46,62.17,0,0,512,4126.84
53.0,3,Xiaomi Redmi,Agadir,1.0,1,813.75,3,1.0,Moyenne,22,91.68,0,0,1000,5494.33
53.0,2,Oppo,Rabat,0.0,1,740.19,0,0.0,Entrée,34,113.32,1,0,1000,3765.65
34.0,5,Samsung Galaxy,Marrakech,1.0,0,853.29,2,0.0,Supérieure,67,68.16,0,0,1000,7065.91
60.0,3,Oppo,Agadir,1.0,0,1360.86,0,0.0,Moyenne,84,75.7,1,0,512,4326.46
58.0,1,Honor,Rabat,0.0,1,1203.35,4,0.0,Moyenne,35,86.43,1,1,512,4778.47
56.0,4,Honor,Agadir,1.0,1,1125.5,1,1.0,Entrée,91,66.45,1,0,1000,2814.45
73.0,7,Oppo,Casablanca,1.0,1,876.44,1,1.0,Moyenne,96,61.7,1,0,1000,4103.3
40.0,3,Samsung Galaxy,Marrakech,0.0,0,1126.4,2,1.0,Supérieure,96,86.9,1,1,128,7759.59
47.0,7,iPhone,Agadir,1.0,0,1222.7,4,0.0,Premium,33,85.22,0,1,1000,11836.74
52.0,9,Xiaomi Redmi,Casablanca,0.0,1,777.65,4,1.0,Moyenne,37,59.62,1,1,512,6555.39
45.0,3,iPhone,Agadir,0.0,0,1322.25,4,0.0,Premium,49,117.95,0,1,512,11591.21
56.0,3,Samsung Galaxy,Agadir,0.0,0,998.44,3,1.0,Supérieure,4,63.52,1,0,128,8044.61
54.0,9,iPhone,Agadir,1.0,1,1066.81,2,1.0,Premium,11,88.03,0,1,1000,10923.9
57.0,4,Oppo,Marrakech,0.0,0,1114.76,0,0.0,Moyenne,15,81.39,0,0,128,4891.22
25.0,4,Oppo,Agadir,0.0,0,1260.69,0,0.0,Moyenne,52,68.11,0,1,512,4242.18
48.0,6,Xiaomi Redmi,Marrakech,1.0,1,932.6,2,,Moyenne,10,68.55,1,1,512,4659.35
48.0,7,Xiaomi Redmi,Marrakech,0.0,0,771.33,2,0.0,Moyenne,55,63.43,0,0,128,6795.22
68.0,6,Honor,Rabat,1.0,0,465.87,4,0.0,Entrée,89,61.61,1,0,1000,3386.57
66.0,7,iPhone,Marrakech,0.0,1,1116.15,0,1.0,Supérieure,5,68.04,1,0,1000,9413.05
45.0,5,Samsung Galaxy,Agadir,1.0,1,1148.49,0,1.0,Supérieure,89,69.45,0,0,512,8584.76
31.0,5,Xiaomi Redmi,Marrakech,1.0,1,1076.49,2,1.0,Moyenne,35,66.19,1,0,1000,5556.56
37.0,4,iPhone,Rabat,0.0,0,808.43,3,0.0,Supérieure,67,86.99,0,1,128,9039.08
43.0,4,Oppo,Marrakech,1.0,1,632.87,0,1.0,Entrée,44,82.66,0,1,256,3591.22
65.0,8,iPhone,Rabat,0.0,0,966.39,1,0.0,Premium,54,77.45,0,1,1000,10236.56
46.0,3,Samsung Galaxy,Marrakech,1.0,1,1090.71,4,1.0,Supérieure,67,122.79,0,0,1000,9177.02
61.0,6,Honor,Rabat,0.0,0,791.8,1,0.0,Entrée,3,73.5,0,0,512,3481.39
43.0,2,Samsung Galaxy,Rabat,1.0,1,1140.36,3,1.0,Supérieure,24,76.54,0,1,512,8342.91
36.0,2,Oppo,Casablanca,0.0,1,1157.1,1,0.0,Entrée,41,98.59,0,0,128,2522.99
34.0,1,Oppo,Agadir,1.0,0,1263.19,3,1.0,Entrée,48,89.59,1,1,512,3714.77
46.0,7,Honor,Casablanca,0.0,1,1027.74,0,0.0,Moyenne,34,70.98,1,1,256,4568.29
65.0,6,Oppo,Marrakech,1.0,1,1269.88,3,0.0,Entrée,8,78.25,1,0,512,3262.64
69.0,9,Xiaomi Redmi,Agadir,1.0,0,1163.6,2,1.0,Moyenne,32,54.19,0,0,256,5504.72
53.0,2,Oppo,Casablanca,0.0,1,987.58,4,0.0,Moyenne,25,96.72,1,1,128,4272.49
43.0,3,Xiaomi Redmi,Agadir,1.0,0,882.37,3,0.0,Moyenne,72,74.09,0,0,128,6705.02
53.0,1,Xiaomi Redmi,Marrakech,1.0,1,1005.17,1,0.0,Moyenne,64,72.23,0,0,256,6713.28
66.0,4,Oppo,Marrakech,0.0,0,936.44,4,1.0,Entrée,68,42.13,1,1,256,3685.17
59.0,3,Samsung Galaxy,Agadir,1.0,0,687.75,3,0.0,Supérieure,18,62.11,1,1,1000,7457.9
40.0,1,iPhone,Casablanca,1.0,1,974.72,2,1.0,Supérieure,14,82.11,1,0,128,9752.85
52.0,4,iPhone,Agadir,0.0,0,925.08,1,1.0,Premium,91,64.75,1,1,1000,11522.59
81.0,8,Oppo,Agadir,1.0,0,1361.39,3,0.0,Moyenne,77,90.62,0,1,1000,4940.14
51.0,2,Xiaomi Redmi,Marrakech,1.0,0,1204.18,4,0.0,Moyenne,81,75.64,0,0,1000,4731.44
65.0,1,iPhone,Rabat,1.0,0,908.23,0,1.0,Premium,26,72.7,0,0,1000,10995.55
52.0,3,iPhone,Marrakech,0.0,0,902.6,0,1.0,Premium,90,76.07,0,1,512,11895.32
34.0,8,Samsung Galaxy,Agadir,0.0,0,919.31,0,0.0,Supérieure,93,62.92,0,0,512,7992.61
39.0,5,Samsung Galaxy,Rabat,0.0,1,1469.54,1,1.0,Supérieure,90,83.13,0,1,512,7358.87
56.0,7,Honor,Marrakech,0.0,0,1075.49,0,0.0,Entrée,48,61.5,1,0,128,3432.28
55.0,2,Samsung Galaxy,Rabat,1.0,0,1352.34,1,0.0,Supérieure,1,81.97,0,1,512,9229.65
41.0,1,Oppo,Casablanca,1.0,0,995.51,4,1.0,Entrée,45,76.91,0,1,1000,3802.1
53.0,7,Oppo,Rabat,1.0,0,986.11,2,1.0,Entrée,44,61.47,0,0,1000,2893.88
70.0,1,Honor,Rabat,1.0,1,877.82,0,1.0,Entrée,90,88.87,0,0,512,3415.32
54.0,4,iPhone,Marrakech,1.0,1,854.21,2,1.0,Premium,53,59.95,0,0,1000,11519.53
41.0,4,iPhone,Casablanca,0.0,0,876.37,0,0.0,Premium,49,59.69,0,0,256,11370.55
65.0,6,Xiaomi Redmi,Casablanca,0.0,0,1162.79,4,1.0,Moyenne,62,98.2,1,0,128,6940.64
53.0,5,Honor,Rabat,1.0,0,1186.96,4,1.0,Moyenne,97,71.89,0,0,128,4592.09
59.0,8,Samsung Galaxy,Agadir,1.0,1,1191.55,1,1.0,Supérieure,49,70.18,0,1,1000,8406.76
60.0,8,iPhone,Marrakech,0.0,1,967.97,0,0.0,Premium,81,88.8,0,1,512,11933.09
42.0,6,Oppo,Agadir,1.0,1,874.01,3,1.0,Entrée,34,80.45,1,1,256,2584.25
52.0,4,Xiaomi Redmi,Marrakech,0.0,1,853.82,1,1.0,Moyenne,95,69.79,0,1,128,6354.68
62.0,1,Oppo,Rabat,1.0,0,960.84,4,0.0,Entrée,6,61.81,1,1,1000,3230.08
55.0,5,Honor,Marrakech,1.0,1,842.77,2,0.0,Entrée,91,88.78,0,0,512,3434.49
54.0,1,Samsung Galaxy,Casablanca,0.0,0,1326.6,4,1.0,Supérieure,19,90.44,0,1,128,8557.22
58.0,7,Samsung Galaxy,Marrakech,1.0,0,1271.44,1,1.0,Supérieure,53,57.35,1,1,256,7331.88
68.0,5,Oppo,Casablanca,1.0,1,876.31,2,1.0,Entrée,90,63.61,0,1,256,3012.37
26.0,3,Oppo,Rabat,1.0,1,1145.91,1,0.0,Moyenne,7,51.65,1,1,512,4718.58
70.0,2,iPhone,Marrakech,1.0,0,985.02,3,1.0,Premium,21,94.91,0,0,128,10386.94
37.0,8,Xiaomi Redmi,Marrakech,1.0,0,914.06,1,1.0,Moyenne,84,103.35,1,1,128,6310.67
41.0,4,Oppo,Casablanca,0.0,0,914.53,0,0.0,Entrée,97,64.91,0,1,256,3072.39
70.0,5,iPhone,Rabat,1.0,0,1000.85,3,1.0,Premium,4,47.76,1,0,256,10532.69
61.0,9,Oppo,Agadir,0.0,1,1078.99,1,1.0,Moyenne,54,67.22,0,0,256,4113.43
35.0,2,Samsung Galaxy,Casablanca,0.0,0,953.41,4,1.0,Supérieure,60,71.7,1,1,1000,7843.6
48.0,7,Oppo,Casablanca,0.0,1,1010.42,3,1.0,Entrée,26,63.95,0,0,1000,3981.14
54.0,5,Honor,Marrakech,0.0,0,1308.23,0,1.0,Moyenne,13,87.61,1,1,256,4050.93
56.0,5,Samsung Galaxy,Agadir,1.0,0,834.82,1,0.0,Supérieure,99,88.0,0,0,256,9840.66
81.0,3,Honor,Agadir,1.0,1,1383.68,4,1.0,Moyenne,61,58.78,0,0,128,4938.65
38.0,1,Oppo,Marrakech,1.0,1,1077.02,0,0.0,Moyenne,55,71.86,0,0,128,4643.38
37.0,5,Honor,Rabat,1.0,1,871.85,1,0.0,Entrée,47,81.27,0,0,256,2878.1
34.0,6,Honor,Rabat,0.0,1,893.92,2,1.0,Entrée,53,83.92,0,1,512,3732.56
54.0,4,Oppo,Marrakech,1.0,0,834.65,3,0.0,Moyenne,63,85.61,0,1,256,4555.03
62.0,5,Oppo,Marrakech,0.0,0,1069.98,3,1.0,Moyenne,7,87.13,0,0,256,4453.12
43.0,8,Xiaomi Redmi,Agadir,1.0,0,1199.13,2,1.0,Moyenne,38,80.85,0,0,256,5850.22
47.0,2,iPhone,Marrakech,0.0,0,827.52,2,0.0,Supérieure,87,66.79,1,1,1000,9314.64
53.0,2,Samsung Galaxy,Marrakech,0.0,0,1383.25,4,0.0,Supérieure,78,75.9,1,0,128,7240.53
45.0,4,iPhone,Agadir,0.0,0,871.39,2,0.0,Premium,42,53.56,1,1,1000,10247.43
43.0,1,iPhone,Marrakech,0.0,0,1083.02,2,0.0,Premium,16,90.22,1,1,512,10666.39
37.0,5,iPhone,Marrakech,1.0,0,1010.31,2,0.0,Supérieure,63,85.61,1,1,512,9521.89
53.0,1,Xiaomi Redmi,Agadir,0.0,1,1229.64,4,0.0,Moyenne,89,91.13,0,1,256,5934.26
50.0,1,Xiaomi Redmi,Agadir,0.0,0,999.23,0,1.0,Moyenne,92,57.98,0,1,256,5001.24
52.0,7,Xiaomi Redmi,Agadir,1.0,0,1279.93,2,1.0,Moyenne,41,73.73,1,0,128,4983.98
49.0,6,Xiaomi Redmi,Casablanca,0.0,1,1090.76,3,0.0,Moyenne,75,71.78,1,0,512,6232.05
59.0,6,Honor,Rabat,1.0,0,1229.13,3,0.0,Entrée,93,74.42,1,0,128,3984.0
46.0,9,Honor,Marrakech,0.0,1,887.94,2,1.0,Entrée,27,73.1,1,1,256,3848.47
45.0,6,Xiaomi Redmi,Casablanca,0.0,0,898.78,2,0.0,Moyenne,92,83.99,0,1,256,5575.14
37.0,1,iPhone,Marrakech,1.0,0,758.58,2,0.0,Premium,27,72.69,0,1,128,11843.27
50.0,4,Oppo,Casablanca,0.0,1,1282.21,1,0.0,Entrée,96,103.33,1,1,256,3340.74
64.0,9,Samsung Galaxy,Marrakech,0.0,0,1017.5,3,1.0,Supérieure,2,91.99,1,0,128,8356.24
56.0,2,Samsung Galaxy,Agadir,0.0,1,1245.86,0,1.0,Supérieure,79,70.21,0,1,256,7585.14
39.0,5,Honor,Casablanca,0.0,1,1333.82,1,0.0,Entrée,9,91.8,0,0,256,3181.86
47.0,5,Honor,Marrakech,0.0,0,985.72,0,1.0,Moyenne,7,110.81,0,1,256,4575.35
45.0,2,Xiaomi Redmi,Rabat,1.0,1,965.76,1,1.0,Moyenne,20,67.98,0,1,128,6340.51
60.0,6,iPhone,Marrakech,1.0,1,1117.62,0,1.0,Premium,78,63.01,0,1,1000,11136.59
56.0,7,Samsung Galaxy,Agadir,0.0,0,1143.8,3,0.0,Supérieure,36,57.41,1,1,256,8225.06
56.0,2,Samsung Galaxy,Rabat,0.0,0,824.26,2,0.0,Supérieure,88,74.78,1,1,128,9633.89
32.0,8,Samsung Galaxy,Casablanca,1.0,0,1150.9,3,0.0,Supérieure,97,67.81,0,1,512,7257.97
58.0,1,Oppo,Agadir,0.0,0,750.3,2,0.0,Entrée,59,57.77,1,0,1000,3839.9
48.0,9,Xiaomi Redmi,Casablanca,0.0,1,997.97,2,1.0,Moyenne,85,91.15,0,0,512,4969.63
47.0,2,Xiaomi Redmi,Marrakech,0.0,0,1033.95,1,0.0,Moyenne,88,63.39,0,0,1000,6094.58
40.0,7,Honor,Agadir,1.0,1,1083.54,0,0.0,Moyenne,20,42.39,1,0,256,4462.11
71.0,4,Samsung Galaxy,Rabat,1.0,0,810.65,2,0.0,Supérieure,55,61.52,1,0,128,7819.38
37.0,1,Samsung Galaxy,Agadir,1.0,0,684.04,1,0.0,Supérieure,68,80.69,0,0,512,9987.73
28.0,8,Honor,Agadir,1.0,0,776.72,3,1.0,Entrée,38,81.19,1,0,128,3507.61
56.0,6,Honor,Casablanca,1.0,1,986.51,2,0.0,Entrée,31,93.43,0,1,1000,2610.18
45.0,8,Honor,Casablanca,1.0,1,711.73,2,1.0,Moyenne,58,90.72,1,1,1000,4909.39
49.0,5,iPhone,Marrakech,0.0,0,918.75,2,1.0,Premium,46,77.43,1,1,512,11746.88
55.0,4,Samsung Galaxy,Casablanca,1.0,0,1287.41,3,0.0,Supérieure,35,48.82,0,0,512,8510.19
38.0,8,Honor,Agadir,0.0,1,1108.22,2,1.0,Entrée,49,69.44,0,0,512,2629.43
79.0,1,Xiaomi Redmi,Rabat,0.0,1,994.71,1,0.0,Moyenne,87,54.97,1,0,1000,5853.38
35.0,6,Honor,Rabat,0.0,0,822.97,2,0.0,Entrée,13,76.1,0,1,1000,3848.78
32.0,9,Samsung Galaxy,Rabat,1.0,0,851.08,0,1.0,Supérieure,35,66.91,1,1,128,7408.67
55.0,2,Honor,Agadir,0.0,1,1375.17,3,1.0,Entrée,12,77.09,1,1,256,2898.3
